objectid,seg_id,hundred_block_score,l_hundred_block,r_hundred_block,street_class,street_class_name
67,420542,1.33333333,2000 SPRING GARDEN ST,0 SPRING GARDEN ST,2,Major Arterial
68,420410,1.33333333,2000 MOUNT VERNON ST,2000 MOUNT VERNON ST,5,Local
69,421797,1.33333333,600 N 21ST ST,600 N 21ST ST,4,Collector
70,420415,1.33333333,2100 CLAY ST,2100 CLAY ST,5,Local
71,421798,1.33333333,600 N 21ST ST,600 N 21ST ST,4,Collector
72,521309,2.33333333,1500 INGERSOLL ST,1500 INGERSOLL ST,5,Local
73,422199,2,1500 W CABOT ST,1500 W CABOT ST,5,Local
74,521298,1.33333333,1500 MASTER ST,1500 MASTER ST,4,Collector
75,521299,1.33333333,1500 MASTER ST,1500 MASTER ST,4,Collector
76,521300,1.55555556,1400 MASTER ST,1400 MASTER ST,4,Collector
77,420085,2.22222222,1500 SEYBERT ST,1500 SEYBERT ST,5,Local
78,420107,1.33333333,1300 N 15TH ST,1300 N 15TH ST,4,Collector
79,521303,2,1300 N 16TH ST,1300 N 16TH ST,4,Collector
80,420084,1.33333333,1300 N 15TH ST,1300 N 15TH ST,4,Collector
81,521306,1.33333333,1300 N 15TH ST,1300 N 15TH ST,4,Collector
82,420108,2,1500 W THOMPSON ST,1500 W THOMPSON ST,4,Collector
83,420111,2.22222222,1300 N CARLISLE ST,1300 N CARLISLE ST,5,Local
84,420109,2,1400 W THOMPSON ST,1400 W THOMPSON ST,4,Collector
85,420112,2,1400 W THOMPSON ST,1400 W THOMPSON ST,4,Collector
86,420113,2,1400 W THOMPSON ST,1400 W THOMPSON ST,4,Collector
87,420147,2,1200 N CARLISLE ST,1200 N CARLISLE ST,5,Local
88,420148,1.33333333,1400 W STILES ST,1400 W STILES ST,5,Local
89,420145,1.33333333,1400 W STILES ST,1400 W STILES ST,5,Local
90,420144,2,1200 BURNS ST,1200 BURNS ST,5,Local
91,422029,2,1200 N 15TH ST,1200 N 15TH ST,4,Collector
92,422323,2,1200 N 15TH ST,1200 N 15TH ST,4,Collector
93,422324,2,1200 N 15TH ST,1200 N 15TH ST,4,Collector
94,420197,2.66666667,1400 W GIRARD AVE,1400 W GIRARD AVE,2,Major Arterial
95,420073,2,1300 N 16TH ST,1300 N 16TH ST,4,Collector
96,420095,2,1300 N 16TH ST,1300 N 16TH ST,4,Collector
97,420217,2.66666667,900 N 15TH ST,900 N 15TH ST,4,Collector
98,420124,2,1200 N 16TH ST,1200 N 16TH ST,4,Collector
99,420136,2,1200 N 16TH ST,1200 N 16TH ST,4,Collector
100,420141,2,1500 W STILES ST,1500 W STILES ST,5,Local
101,420153,2,1200 N 16TH ST,1200 N 16TH ST,4,Collector
102,420162,2,1500 W FLORA ST,1500 W FLORA ST,5,Local
103,420186,2,1200 N 16TH ST,1200 N 16TH ST,4,Collector
104,420194,2,1500 W GIRARD AVE,1500 W GIRARD AVE,2,Major Arterial
105,420212,2,900 N 16TH ST,900 N 16TH ST,4,Collector
106,420218,2.66666667,1500 CAMBRIDGE ST,1500 CAMBRIDGE ST,5,Local
107,420221,2.66666667,1400 CAMBRIDGE ST,1400 CAMBRIDGE ST,5,Local
108,420220,4,900 N CARLISLE ST,900 N CARLISLE ST,5,Local
109,420096,1.76010101,1600 W THOMPSON ST,1600 W THOMPSON ST,4,Collector
110,420125,1.33333333,1600 W CABOT ST,1600 W CABOT ST,5,Local
111,420115,2,1200 N 17TH ST,1200 N 17TH ST,4,Collector
112,420132,2,1200 N 17TH ST,1200 N 17TH ST,4,Collector
113,420137,1.33333333,1600 W STILES ST,1600 W STILES ST,5,Local
114,420154,2,1600 W FLORA ST,1600 W FLORA ST,5,Local
115,420142,2,1200 N 17TH ST,1200 N 17TH ST,4,Collector
116,420180,2,1200 N 17TH ST,1200 N 17TH ST,4,Collector
117,421606,2,1600 W GIRARD AVE,1600 W GIRARD AVE,2,Major Arterial
118,420088,2,1700 W THOMPSON ST,1700 W THOMPSON ST,4,Collector
119,420079,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
120,420101,1.33333333,1800 W CABOT ST,1800 W CABOT ST,5,Local
121,420100,1.66666667,1200 N 18TH ST,1200 N 18TH ST,4,Collector
122,420054,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
123,420055,2,1800 SEYBERT ST,1800 SEYBERT ST,5,Local
124,420048,2.66666667,1300 N 19TH ST,1300 N 19TH ST,4,Collector
125,521262,2.66666667,1300 N 19TH ST,1300 N 19TH ST,4,Collector
126,521270,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
127,521290,2,1800 INGERSOLL ST,1800 INGERSOLL ST,5,Local
128,521263,2.66666667,1300 N 19TH ST,1300 N 19TH ST,4,Collector
129,521269,2.66666667,1300 N 18TH ST,1300 N 18TH ST,4,Collector
